SiriMetro Ratchada - Vipawadee,"
Soi Vibhavadi Rangsit 16/8, Chom Phon, Chatuchak, Bangkok 10900
",,
Supalai Cute Ratchayothin - Phaholyothin34,"
238/9 Soi Phahonyothin, Khwaeng Sena Nikhom, Khet Chatuchak
","34,33.55,40.5,24,40.5,33,40.5,34,33.5,33,40.5,33.5,33,33.5,33,40,28,40.61,40.5","9,000,9,000,12,000,9,000,12,000,9,900,12,000,9,000,10,000,8,000,10,500,8,500,8,500,10,000,9,000,15,000,9,000,13,500,9,300"
THE LINE Jatujak - Mochit,"
Phahonyothin Road, Khwaeng Chatuchak, Khet Chatuchak
","60,27,59,35,34,36,27,27,33.59,34.5,58,34,35,34.25,33.59,58.75,27,34.6,27,35,62","38,000,19,000,40,000,24,500,24,000,20,000,18,000,18,000,20,21k,42,000,22,000,24,500,22,000,25,000,55,600,16,000,23,000,18,000,24,000,38,000"
Sailom Suite,"
Soi Suzuki, Khwaeng Chan Kasem, Khet Chatuchak
","73,86,51.07,58","20,000,20,000,12,000,12,500"
Sarin Place,"
Ratchadaphisek 46, Lat Yao, Chatuchak, Bangkok 10900
","200,150,70,87,150,100,85,45,87,45","75,000,60,000,40,000,26,000,45,000,20,000,22,000,12,000,26,000,12,000"
Regent Home 6 Prachacheun,"
Soi Phong Phet Niwet, Lane 6-1, Khwaeng Chatuchak, Khet Chatuchak
","31,31,31,62","6,000,6,000,6,000,8,000"
Ratchada Terrace,"
Soi Phahon Yothin 24, Lane 2-1, Khwaeng Chom Phon, Khet Chatuchak
","72,36,72","12,000,6,500,14,000"
Ratchayothin Place,"
14 Soi Phahon Yothin 37, Khwaeng Lat Yao, Khet Chatuchak
",55,"16,000"
Ratchada Ville,"
Soi Ratchadaphisek 36, Lane 19-8, Khwaeng Chan Kasem, Khet Chatuchak
",28,"4,000"
SYM Vibha - Ladprao,"
204 Soi Choei Phuang, Khwaeng Chom Phon, Khet Chatuchak
","35,35,32,48,76,78,35,34.89,75,35,37.5,35,57,50,78,78,37,37,37,36,28","14,500,15,000,15,23k,25,000,25,000,15,000,15,000,25,000,15,000,16,000,14,500,30,000,24,000,35,000,38,000,15,000,16,000,16,000,15,000,12,000"
Ratchada Maison,"
33/4 Ratchadaphisek Road, Khwaeng Chan Kasem, Khet Chatuchak
",,
Ratchada Pavilion,"
Ratchadaphisek 30 Yaek 4, Chan Kasem, Chatuchak, Bangkok 10900
","160,160,106,53,35.5,184,184,65,65,106","32,000,32,000,52,000,10,000,9,000,30,000,30,000,13,000,12,000,19,998"
Ratchaarpa Tower,"
Soi Ratchadaphisek 36, Lane 19-1, Khwaeng Chan Kasem, Khet Chatuchak
",,
Ratchada Chuanchom Mansion,"
Soi Suea Yai Uthit, Khwaeng Chan Kasem, Khet Chatuchak
",,
Prompto Ratchada 32,"
97 Soi Ratchadaphisek 36, Lane 19-1, Khwaeng Chan Kasem, Khet Chatuchak
",26.52,"8,500"
Premio Quinto Condo,"
2008/19 Phahonyothin Rd, Khwaeng Sena Nikhom, Khet Chatuchak
","32,25,33,26,32,29,26.09,33,26","15,000,12,000,16,000,13,000,15,000,13,500,11,900,15,000,12,000"
Prachaniwet Condo,"
Soi Thetsaban Songkhro 2, Lane 2, Khwaeng Lat Yao, Khet Chatuchak
",,
Premsiri Boutique Park,"
Thanon Prasert-Manukitch, Khwaeng Sena Nikhom, Khet Chatuchak
","42,28,60,28,41,42,35,35,56,34,35","10,000,7,000,25,000,7,000,9,990,12,000,8,000,9,000,16,000,10,000,9,000"
Prasertsuk Place,"
Maeo Daeng, Chom Phon, Chatuchak, Bangkok 10900
","79,79,79,79,63,79,79","16,900,17,000,16,900,16,900,16,000,16,900,16,900"
Piyaphirom,"
36/15 Soi Ratchadaphisek 36 Yaek 19, Khwaeng Chan Kasem, Khet Chatuchak
",48,"6,500"
Pisawit Tower,"
Soi Phahon Yothin 24, Lane 2-1, Khwaeng Chom Phon, Khet Chatuchak
",,
Pensiri Place,"
Sana Nikhom 1 Soi 2, Khwaeng Chan Kasem, Khet Chatuchak
",,
Pete Ratchada Condominium,"
320 รัชดาภิเษก Khwaeng Chan Kasem, Khet Chatuchak
","29,26","4,500,4,500"
Pattanachat Suite,"
Soi Vibhavadi Rangsit 3, Lane 9, Khwaeng Chom Phon, Khet Chatuchak
",41,"6,000"
Palm Suites Condominium,"
Soi Phahon Yothin 24, Lane 4-3-2, Khwaeng Chom Phon, Khet Chatuchak
",,
OIC,"
Ratchadaphisek 30 Yaek 1, Chan Kasem, Chatuchak, Bangkok 10900
",34,"8,490"
Ngamwadee Place,"
Soi Ta Chamlong Yai Chiwan, Khwaeng Lat Yao, Khet Chatuchak
",40,"8,000"
Nature Place 1,"
Soi, Khwaeng Chom Phon, Khet Chatuchak
",,
Notting Hill Jatujak - Interchange,"
Soi Phahon Yothin 18, Lane 2, Khwaeng Chom Phon, Khet Chatuchak
","35,35,37.48,34,34,35,33,36.14,33,35,37,37.48,32.5,33.5,33.5,34,33,34,33,34","14,000,15,000,17,000,18,000,18,000,18,000,17,500,21,000,17,500,15,000,18,000,17,000,20,000,20,000,20,18,000,17,500,21,000,17,500,20,000"
Murraya Place Ladprao 27,"
Soi Lat Phrao 27, Khwaeng Chan Kasem, Khet Chatuchak
",,
My Condo Ladprao 27,"
Lat Phrao 27, Chan Kasem, Chatuchak, Bangkok 10900
","35,35,35,35,35,50,35,35","8,500,9,500,9,200,8,500,9,000,15,000,10,000,9,000"
Morning Side Heights Ratchada 30,"
Soi Lat Phrao 23, Khwaeng Chan Kasem, Khet Chatuchak
",,
Mono Place Condominium,"
Soi Lor Chula, Khwaeng Chan Kasem, Khet Chatuchak
","20.4,21,21","3,200,3,500,3,000"
Modiz Ratchada 32,"
Soi Ratchadaphisek 32, Lane 2, Khwaeng Chan Kasem, Khet Chatuchak
","25,24,24,24,25,24","12,000,13,000,13,000,13,000,12,000,11,000"
Metro Sky Kaset,"
Thanon Prasert-Manukitch, Khwaeng Sena Nikhom, Khet Chatuchak
",,
Metris Ladprao,"
8-45 Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
",,
Mazarine Ratchayothin,"
1839 Soi Ratchadaphisek 46/1, Khwaeng Lat Yao, Khet Chatuchak
",,
