Q. House Condo Sukhumvit 79,"
2045/6 Sukhumvit Rd, Khwaeng Phra Khanong Nuea, Khet Watthana
","44.1,33,30,67,43,30,67,26.67,31,27,67,30,30,30,27,67,30,43,60,30,31,30","25,000,16,000,21,000,45,000,28,000,20,000,45,000,16,000,17,000,16,000,45,000,21,000,18,000,21,000,20,000,50,000,20,000,30,58k,18,28k,20,000"
RHYTHM Ekkamai,"
50/2 Soi Sukhumvit 63 Road, Khwaeng Phra Khanong Nuea, Khet Watthana
","35,70,31,70,30,80,30,30,80,31,35,70,70,70,30,35,80,70,35,35","28,000,70,000,25,000,60,000,25,000,69,000,25,000,23,000,80,000,25,000,35,000,72,000,72,900,65,000,28,000,29,000,80,000,63,000,32,000,30,000"
Private Apartment,"
28 Soi Mi Suwan 3, Khwaeng Phra Khanong Nuea, Khet Watthana
","50,188,45,45,220","15,000,85,000,25,35k,25,000,90,000"
Quattro by Sansiri,"
122/2 Soi Thong Lo 4, Khwaeng Khlong Tan Nuea, Khet Watthana
","55,81.03,85,55,63,55,53,63,82,53,55,84,85,52,81,53,55,100,90,84,80","55,000,79,000,75,000,50,000,55,000,45,000,57,000,55,000,55,000,55,000,50,000,78,000,50,000,75,000,57,000,56,000,90,000,69,000,80,000,75,000"
Prime Mansion Promphong,"
Soi Phrom Phong, Khlong Toei Nuea, Vadhana, Bangkok 10110
","280,154,273,300,120,80.78,80,80,80,80,270,110,212,115,120,135,62,254.1,114,157","80,000,70,000,120,000,85,000,55,000,50,000,45,000,55,000,50,000,55,000,90,000,60,000,120,000,55,000,55,000,57,000,28,000,80,000,55,000,60,000"
Private Sukhumvit,"
Soi Torsak 1, Khlong Toei Nuea, Vadhana, Bangkok 10110
",,
Prime Mansion One,"
191/5 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","254,260,258.59,260,260,250,155,256.1,260,260,260","90,000,110,000,60,000,110,000,110,000,100,000,70,000,80,000,110,000,110,000,110,000"
Prime Mansion Sukhumvit 31,"
Sukhumvit 31 Yaek 2, Khlong Toei Nuea, Vadhana, Bangkok 10110
","80,160,80,256,225,250,200,120,138,108,80,80,78,200,140,132,250,80,150,80","50,000,60,000,55,000,89,000,120,000,80,000,80,000,80,000,70,000,60,000,45,000,45,000,45,000,80,000,60,000,70,000,85,000,45,000,120,000,55,000"
Prestige Towers,"
Soi Prasanmit, Khlong Tan Nuea, Vadhana, Bangkok 10110
","174,254,–,174,175,174,175,250,428,175,175,427","40,000,55,000,50,000,40,000,40,000,30,000,43,000,60,000,120,000,45,000,40,000,80,000"
Prime Mansion Promsri,"
Sukhumvit 49/11, Khlong Toei Nuea, Vadhana, Bangkok 10110
","273,145,273,120,92,90,280,91.18,136.41,120,91.18,240,295,273,121,92,443,122,88.55,273","120,000,60,000,120,000,55,000,48,000,45,000,80,000,50,000,50,000,59,000,50,000,120,000,70,000,120,000,60,000,48,000,120,000,58,000,45,000,120,000"
Premier Thonglo,"
136/2 ถนน สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
",,
Premier 20 Apartment,"
77 Soi Ekkamai 21, Khwaeng Khlong Tan Nuea, Khet Watthana
",,
Prasanmitr Thani Tower,"
49 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana
","300,220,350,195,250,600,220,220,–,220,350,215,195,220,227","165,000,110,000,175,000,92,000,110,000,300,000,105,000,110,000,110,000,100,000,180,000,150,000,94,000,105,000,120,000"
Piyathip Place,"
53-55 Soi Phrom Mit, Khwaeng Khlong Tan Nuea, Khet Watthana
","289,291,173,289,279,482,173,572,260,291,260,289,289,291,482,173,260,289,293,291","105,000,110,000,75,000,105,000,93,000,210,000,74,78k,210,000,95,000,110,000,95,000,100,000,105,000,100,000,189,999,75,000,93,000,100,000,90,000,100,000"
Peter Mansion,"
107 ถนน สุขุมวิท Khwaeng Phra Khanong Nuea, Khet Watthana
",,
Phatana Court,"
United Tower Parking, Khwaeng Khlong Tan Nuea, Khet Watthana
","200,200,100,200,200,80,100,80,200","60,000,60,000,50,000,65,000,62,000,40,000,50,000,40,000,62,000"
Phirom Garden Residence,"
Soi Sukhumvit 41, Khwaeng Khlong Tan Nuea, Khet Watthana
","320,320,280,280,250,320,280,280,280,280,320,320,330,330,280,280,320,280,300,320","150,000,130,000,120,000,120,000,120,000,200,000,120,000,120,000,120,000,120,000,160,000,150,000,125,000,130,000,120,000,130,000,160,000,100,000,165,000,150,000"
Phatsana Garden,"
86/1 สุขุมวิท Khwaeng Phra Khanong Nuea, Khet Watthana
","345,345,330,333,345,350","85,000,80,000,65,000,70,000,75,000,75,000"
Penthouse Condominium,"
14 Soi Sukhumvit 65, Khwaeng Phra Khanong Nuea, Khet Watthana
","236,230,230,230,230,200","117,000,120,000,125,000,125,000,125,000,100,000"
Park Ploenchit,"
Soi Ruen Ruedi, Khlong Tan Nuea, Vadhana, Bangkok 10110
","140,184,461","100,000,110,400,45,000"
Park 19 Residence,"
30 Soi Ekkamai 19, Khwaeng Khlong Tan Nuea, Khet Watthana
","48,58,77,58,42,37,54,48","40,000,48,000,59,998,48,000,35,000,30,000,45,000,38,000"
Park Origin Thonglor,"
560 Soi Charoen Suk, Khwaeng Khlong Tan Nuea, Khet Watthana
",58,"55,000"
Paradiso 31,"
3/25 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","184,75,186","151,298,72,000,251,600"
Park Thonglor Tower,"
387 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
","270,49,98,49,84,49,98,98,249,84,187,98,49","65,000,18,000,30,33k,16,000,50,000,15,000,28,000,32,000,150,000,60,000,93,000,30,000,16,000"
Pan Pacific Service Suites,"
162 Soi Sukhumvit 55, Khwaeng Khlong Tan Nuea, Khet Watthana
","235,118,180,235","180,000,120,000,160,000,180,000"
PR Court,"
15 Soi Torsak 1, Khwaeng Khlong Tan Nuea, Khet Watthana
","165,136,90,77,131,131,131,131,77","76,000,73,000,40,000,42,000,72,000,71,000,70,000,70,000,42,000"
Park Court Sukhumvit 77,"
33/1 Soi Saeng Thip, Khwaeng Phra Khanong Nuea, Khet Watthana
","280,282,284,287,287,284,284,298,284.79,284.79,284.79,284.79,284.79,287,287,287,287.06,284,300,288,284.79","130,000,135,000,150,000,180,000,130,000,150,000,130,000,130,000,130,000,135,000,140,000,135,000,140,000,180,000,150,000,150,000,140,000,150,000,130,000,145,000"
PPR Residence,"
19 Soi Si Sukri, Khwaeng Khlong Tan Nuea, Khet Watthana
","120,120,120,120,120,101,120,120,120,120,120,120,120,120,120,100,120,120,120,100,120","60,000,50,000,50,000,50,000,50,000,60,000,50,000,50,000,50,000,50,000,50,000,50,000,50,000,50,000,50,000,50,60k,50,000,50,000,55,000,50,000"
PP Plus Sukhumvit 71,"
275/3 Soi Pridi Banomyong 14, Lane 3, Khwaeng Phra Khanong Nuea, Khet Watthana
","53,39.2,41.7,53.85,41.7,40","15,000,15,000,12,900,15,000,12,000,12,000"
P.S Tower,"
32 Thanon Asok Montri, Khwaeng Khlong Toei Nuea, Khet Watthana
",635.7,"413,205"
PITI Ekkamai,"
444-448 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
",,
PB Penthouse 2,"
581 Soi Pridi Banomyong 14, Lane 3, Khwaeng Phra Khanong Nuea, Khet Watthana
","131.63,232","35,000,112,000"
P.R.Home III Apartment,"
41 Soi To Sak, Khwaeng Khlong Tan Nuea, Khet Watthana
","300,120,300,300,320,320,120","85,000,60,000,100,000,90,000,90,000,90,000,70,000"
P.R. Home I,"
133 Soi Charoen Suk, Khwaeng Khlong Tan Nuea, Khet Watthana
","300,250,300,250","85,000,75,000,85,000,75,000"
P Residence Thonglor 23,"
22-26 Soi Lumen Oranop, Khwaeng Khlong Tan Nuea, Khet Watthana
",,
P.R. Home II,"
33-246 Soi Thong Lo 8, Khwaeng Khlong Tan Nuea, Khet Watthana
","480,240,400,350,180,420,189,189,250,250,400,180,300,400","95,000,85,000,120,000,85,000,55,000,85,000,62,000,52,500,65,000,60,000,90,000,65,000,90,000,95,000"
Ocean Tower 2 Asoke,"
167 Sukhumvit 21 Soi 3, Khwaeng Khlong Toei Nuea, Khet Watthana
","120,444.36","65,999,200,000"
Oriental Towers,"
Soi Charoen Chai, Khlong Toei Nuea, Vadhana, Bangkok 10110
","314.6,350,315,350,350,350,350,350,350,460,350,350,350,315,350,450,350,350,460,315","90,000,105,000,100,000,65,000,100,000,75,000,85,000,75,000,85,000,90,000,70,000,80,000,85,000,65,000,80,000,90,000,75,000,75,000,90,000,100,000"
Orchid View,"
Soi Phrom Chit, Khwaeng Khlong Tan Nuea, Khet Watthana
","300,540,300","80,000,170,000,90,000"
PPR Villa,"
105 ซอย ปรีดี พนมยงค์ 25 Khwaeng Khlong Tan Nuea, Khet Watthana
","100,120,120,120,100,100,–,100,120,100,120,100,120,100,100,120,120,100,120,100,100,100,120,120,105","55,65k,70,000,60,000,50,000,60,000,55,000,55,60k,50,60k,55,60k,50,000,55,000,65,000,60,000,55,000,65,000,65,000,50,000,55,65k,60,000,57,000"
Oakwood Residence,"
113 Soi Thong Lo 17, Khwaeng Khlong Tan Nuea, Khet Watthana
","183,117,160,183,117,76,160,117,76,183,183,117,183,76,88,117,128,160,183,117,183","120,000,90,000,120,000,85,000,70,000,130,000,90,000,75,000,140,000,150,000,120,000,150,000,75,91k,100,120k,130,150k,120,000,140,000"
Nusasiri Grand,"
Thanon Sukhum Vit, Khwaeng Phra Khanong, Khet Khlong Toei
","235.08,126,80,80,38,172,126,80,80,80,126,156,173,176,80,131,37,174,140,140","120,000,65,000,40,000,40,000,20,000,80,000,70,000,45,000,45,000,50,000,55,000,75,000,85,000,80,000,42,000,70,000,20,000,90,000,75,000,70,000"
Noble Solo,"
Soi Thong Lo, Khwaeng Khlong Tan Nuea, Khet Watthana
","104,52,53,80,70,55,55,84,104,34,71,34,80,72,35,69,52.98,40,69.5,84","65,000,30,000,35,000,40,000,40,000,30,000,30,000,50,000,65,000,17,000,55,000,16,000,35,000,35,000,18,000,40,000,35,000,22,000,35,000,45,000"
Noble Reveal,"
36 Thanon Ekkamai, Khwaeng Phra Khanong Nuea, Khet Watthana
","52,52,90,50,50,55,47,49,51,55,52,51,51,80,87,67,63,50,52,87","35,000,45,000,65,000,40,000,40,000,33,000,32,000,29,000,40,000,35,000,35,000,40,000,40,000,45,000,68,000,50,000,52,000,25,000,45,000,55,000"
Noble Recole,"
65 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Khet Watthana
","35,30,35,35,35,34,35,35,35,37,68,35,68.5,35,35,35,35,37,35,35","28,000,28,000,25,000,25,000,27,000,30,000,25,000,28,000,28,000,26,000,65,000,28,000,52,000,30,000,25,000,27,000,28,000,25,000,29,000,30,000"
Noble Ora,"
Soi Thong Lo, Khwaeng Khlong Tan Nuea, Khet Watthana
","108,144,108,110,115,114,80,115,114,138,108,108,108,138,114,79,114,79,140,140","45,000,60,000,55,000,55,000,45,000,60,000,45,000,60,000,100,000,65,000,45,000,45,000,55,000,60,000,65,000,50,000,39,000,35,000,65,000,65,000"
Noble Remix2,"
776 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei
","46,40,45,54,46,54.11,45,65,41.5,46,54.11,63,63,48.12,54,110.48,47,65,34,44","23,000,23,000,23,000,35,000,35,000,32,000,33,000,47,000,30,000,35,000,30,000,38,000,38,000,28,000,22,000,50,000,34,000,42,000,28,000,32,000"
Noble BE19,"
32 Soi Sukhumvit 15, Khwaeng Khlong Toei Nuea, Khet Watthana
",86,"120,000"
Noble Around 33,"
19 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Khet Watthana
",46,"30,000"
Nivati Thonglor 23,"
40 ถนน สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
",,
Noble Remix,"
776 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei
","43,42,45,41,52,55,–,42,–,51,48,43,121,133,48,65,65,133.7,45,150","25,000,22,000,32,000,30,000,36,000,40,000,38,000,23,000,40,000,25,000,36,000,25,000,90,000,90,000,35,000,47,000,47,000,100,000,34,000,79,000"
Nice Residence,"
168 Soi Lukson Daeng, Khwaeng Khlong Tan Nuea, Khet Watthana
","100,63,100,100,100","48,000,28,500,44,500,44,500,44,500"
Noble BE33,"
16 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Khet Watthana
","35,35,35,35,46,35,52,54,43,35,35,52,52,45,36,52,60,35,34,52","23,25k,35,000,35,000,30,000,46,000,35,000,45,000,51,000,46,000,35,000,27,000,52,000,45,000,43,000,33,000,52,000,40,000,30,000,25,000,52,000"
New Land,"
92 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Khet Watthana
","180,77,72,80","65,000,45,000,27,000,27,500"
Narumol Residence,"
91 ถนน สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
",,
Narindra Residence,"
19 Soi Sukhumvit 35, Khwaeng Khlong Tan Nuea, Khet Watthana
","80,40,85","70,000,50,000,85,000"
NS Residence Sukhumvit 49,"
30 Soi Phrom Phak, Khwaeng Khlong Tan Nuea, Khet Watthana
",,
NL Residence,"
78 Soi Sukhumvit 21, Khwaeng Khlong Toei Nuea, Khet Watthana
","350,285,285,175,175,175","120,000,65,000,65,000,40,000,40,000,35,000"
NOBLE STATE 39,"
55 Sukhumvit 39, Klong Ton-Nua, Khet Watthana
",29.83,"8,300,000"
Mukdha Living Place,"
39/1 Soi Sukhumvit 59, Khwaeng Khlong Tan Nuea, Khet Watthana
","255,155,160,155,155,255,155,260","65,000,55,000,50,000,55,000,55,000,65,000,55,000,75,000"
N.S. Residence,"
85/13 Soi Ekkamai 22, Khwaeng Khlong Tan Nuea, Khet Watthana
","110,110,110,150,70,150,110,130,70,150,150,70,150,130","67,000,60,000,64,000,80,000,44,500,80,000,64,000,62,000,47,000,82,000,84,000,51,000,83,000,66,000"
Movenpick Residences Ekkamai Bangkok,"
483-487 Thanon Ekkamai, Khwaeng Khlong Tan Nuea, Khet Watthana
","44,000,46,31,55,43,77,67,40,70,55,43,77,31,40,67,70,45,31,58,46","28,000,28,000,36,000,42,000,38,000,60,000,45,000,25,000,55,000,42,000,38,000,60,000,36,000,24,000,45,000,43,000,24,000,36,000,43,000,35,000"
Moo Baan Chicha Castle,"
199/38 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","500,500,380,480,380,500","65,000,74,996,65,000,70,000,65,000,75,000"
Montira Apartment,"
71 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
",,
Montara Serviced Apartment Thonglor 25‎,"
Soi Saeng Ngoen, Khwaeng Khlong Tan Nuea, Khet Watthana
","101,55,91,55","89,700,45,000,55,000,42,000"
Mona Suite,"
265/2 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","44,55,81,74,81,45,74,80,38,55,78","40,000,50,000,58,000,52,000,65,000,45,000,60,000,50,000,39,000,45,000,39,000"
Moon Tower,"
Soi Bun Chana, Khlong Toei Nuea, Vadhana, Bangkok 10110
","311,311,122.54,142,310,531,–,335,382,295,185,142,295,531,142,298,287,120,180,286,280","65,000,60,000,50,000,45,000,55,000,180,000,120,000,120,000,155,000,150,000,65,000,45,000,100,000,220,000,45,000,100,000,65,000,50,58k,65,000,65,000"
Modern Town,"
Soi Siyaphai, Khlong Toei Nuea, Vadhana, Bangkok 10110
","202,308,308,155,308,157,155,155,155","50,000,60,000,59,000,45,000,60,000,42,000,48,000,50,000,45,000"
Mitr Mansion,"
27-27/10 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","280,180,273,273,160,280,280,270,150,280","65,000,40,000,53,000,57,000,45,000,65,000,55,000,60,000,45,000,60,000"
Mano Tower,"
Soi Phrom Phong, Khlong Toei Nuea, Vadhana, Bangkok 10110
",227,"80,000"
Mori Haus,"
Habito Rd, Khwaeng Phra Khanong Nuea, Khet Watthana
","36.25,–,37,68,36,36,46.5,46.5,36,36,68.43,36,68.5,46.5,67,67.75,35.75,68,33,36.02,36","24,000,49,000,20,000,49,000,20,000,24,000,28,000,26,000,23,000,23,800,45,000,20,000,42,000,32,000,40,000,20,000,65,000,22,000,16,000,18,19k"
Mela Grande,"
11 Soi Sukhumvit 25, Khwaeng Khlong Toei Nuea, Khet Watthana
","100,180,120,158,189,120,210,180,150,180","66,000,85,000,80,000,76,000,81,000,70,000,81,500,90,000,70,000,80,000"
Mahajak Apartment,"
46 Soi Sukhumvit 3, Khwaeng Khlong Toei Nuea, Khet Watthana
","170,135","45,000,38,000"
Mattani Suites,"
72 Soi Khun Wichit, Khwaeng Khlong Tan Nuea, Khet Watthana
","80,80,80,80,80,80,80,80,80,80,80,80,84,80,80,80,80,80,80,80","40,000,45,000,45,000,45,000,47,000,47,000,47,000,47,000,42,000,40,000,40,000,40,000,38,000,39,999,45,000,40,000,42,000,45,000,40,000,45,000"
Ma Peng Seng Apartment,"
13 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana
","270,–,280,180,250,450,240","80,000,55,000,65,000,70,000,70,000,180,000,80,000"
Mirage Sukhumvit 27,"
Soi Praphatson, Khlong Tan Nuea, Vadhana, Bangkok 10110
","36,35.7,35,70,39,37,50,37,35,36,42,50,36,36,35,35,48,35.7,35,50","25,000,25,000,26,000,45,000,23,000,23,000,27,000,22,000,25,000,26,000,35,000,30,000,26,000,23,000,28,000,28,000,28,000,27,000,26,000,30,000"
Magic Bricks,"
474/1 Soi Thong Lo 16, Khwaeng Khlong Tan Nuea, Khet Watthana
","260,220,250,220,220,220,220,250,270,150,220,250,220,250,220,74,220,250,220,220,250","85,000,70,000,85,000,75,000,82,000,82,000,65,84k,86,000,55,000,65,000,85,000,65,000,85,000,70,000,209,000,75,000,70,85k,75,000,65,000,85,000"
MUNIQ Sukhumvit 23,"
11-17 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana
","42.5,42.5,42,42.5,42.5,–","38,000,38,000,30,000,37,000,30,000,40,000"
MARU Ekkamai 2,"
70/5 สุขุมวิท Khwaeng Phra Khanong Nuea, Khet Watthana
",59.5,"60,000"
Living At Citi Resort,"
153 Soi Phetchaburi 38/1, Khwaeng Khlong Tan Nuea, Khet Watthana
",,
MODE Sukhumvit 61,"
Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110
","55,55,55,87,83,54,54.5,55,54.5,54.5,87.24,84,54,55,54.5,109,55,54.5,87.24,56","43,000,35,000,45,000,76,000,85,000,50,000,45,000,45,000,40,000,45,000,76,000,70,000,38,000,45,000,45,000,85,000,35,000,45,000,76,000,40,000"
MARQUE Sukhumvit,"
713 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei
","127,162,127,195.98,133,127,126,133,131,287,188,126,127,179,126,133,190,127,189,131","135,000,180,000,140,000,250,000,159,000,150,000,190,000,180,000,140,000,300,000,255,000,200,000,150,000,190,000,200,000,190,000,220,000,135,000,260,000,138,000"
M Thonglor 10,"
2 Soi Charoen Chai, Khwaeng Khlong Tan Nuea, Khet Watthana
","33,62,35.5,31,31,35,51,37,30,55,50.66,51,35,36,30,37,35,35,35,30,32,29.8","20,000,35,000,24,000,22,000,28,000,25,000,45,000,30,000,20,000,40,000,39,50k,25,35k,22,000,25,000,27,30k,28,000,25,000,30,000,27,000,23,000"
Maestro 39,"
82 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
","32,30,35.14,32,96,60,52,96,–,70,35,32,32,60,52,30.5,32,32,63.84,32,55","23,000,22,000,25,000,25,000,52,000,45,000,38,48k,27,000,50,000,25,000,25,000,20,000,48,000,45,900,22,000,25,000,25,000,45,000,20,000,48,000"
Lumpini Suite Sukhumvit 41,"
2/53 Soi Sukhumvit 41, Khwaeng Khlong Tan Nuea, Khet Watthana
","40,72,72,36,74,40,40,35,72,85,83,83,75,72,36,36,36,36,41,90","25,000,35,000,38,000,21,000,33,000,27,000,24,000,20,000,40,000,40,000,45,000,45,000,50,000,38,000,28,000,26,000,25,000,22,000,30,000,45,000"
Lily House,"
205 สุขุมวิท Khwaeng Khlong Toei Nuea, Khet Watthana
","292,145,145,145,145,300,292,145,220,90,55,300,145,145,300,90,300,55,145,212","120,000,65,000,65,000,70,000,65,000,150,000,120,000,65,000,120,000,40,000,30,000,150,000,50,000,65,000,150,000,40,000,150,000,30,000,70,000,120,000"
Life @ Sukhumvit 67,"
Soi Si Chan, Phra Khanong Nuea, Vadhana, Bangkok 10110
","81,65,80,80,47,65,32,46,41,31,46,84,84,46,80,65,60,41.5,46.5,67","40,000,35,000,37,000,35,000,28,000,35,000,15,000,20,000,22,000,17,000,18,000,45,000,44,500,17,000,37,000,30,000,35,000,18,000,20,000,35,000"
Le' Cosi,"
98/5 ซอย เอกมัย 28 Khwaeng Khlong Tan Nuea, Khet Watthana
",40,"25,000"
Life @ Sukhumvit,"
1441/7 Thanon Sukhum Vit, Khwaeng Phra Khanong Nuea, Khet Watthana
","41,–,38,41.5,41,60,32,40,60,32,32,41,42,67,60,56,42,32,32,30","20,000,37,000,18,000,20,000,20,000,40,000,17,000,25,000,40,000,16,000,15,000,18,000,20,000,23,000,35,000,24,000,22,000,15,000,15,000,17,000"
Lenice Ekamai,"
72/7 สุขุมวิท Khwaeng Phra Khanong Nuea, Khet Watthana
","115,51,65,51,115,98,98,51,115,65,51,68,68,68,51,95,42,36","45,000,29,000,35,000,25,000,50,000,50,000,50,000,27,000,40,000,35,000,25,000,34,000,34,000,35,000,29,000,55,000,25,000,24,000"
Le Raffine Jambunuda Sukhumvit 31,"
Sukhumvit 31, Khlong Tan Nuea, Vadhana, Bangkok 10110
","360,370,371,360,345,335,348,370,373,350,376,361,343,350,350,270,374,350,335,361","230,000,230,000,200,000,180,000,180,000,180,000,160,000,180,000,200,000,180,000,170,000,200,000,160,000,230,000,190,000,200,000,230,000,150,000,160,000,185,000"
Liberty Park 2,"
55/1-55/137 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Khet Watthana
","118,118,118,118,105,118,125,100,100,110,120,100,108,122,105,110,118,123,118,240","35,000,35,000,40,000,35,000,40,000,40,000,45,000,42,000,28,000,35,000,40,000,28,000,35,000,32,500,42,000,40,000,35,000,40,000,37,000,55,000"
Le Premier 2,"
Soi Bun Chana, Khlong Toei Nuea, Vadhana, Bangkok 10110
","324,258,123,187,169,190,130,169,129,129,179,169,122,130,179,122,130,169,129,122.57","55,000,55,000,40,000,45,000,45,000,45,000,49,000,38,000,35,000,35,000,45,000,30,000,35,000,50,000,45,000,40,000,55,000,39,500,78,500,35,000"
Le Premier 1,"
12/4 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Khet Watthana
","183,175,171,175,171,450,171.48,170,170.67,182,184,184,171,175,170,175,170,175,358,175","50,000,45,000,45,000,50,000,50,000,85,000,40,45k,40,000,40,000,38,000,47,500,47,500,40,000,50,000,38,000,50,000,35,000,50,000,85,000,50,000"
Liberty Park,"
72 Soi Prasan Mit, Khwaeng Khlong Toei Nuea, Khet Watthana
","108,257,85,101,185,165,110,104,240,240,120,125,240,250,253,253,240,75,86,240","35,000,65,000,29,000,35,000,45,000,45,000,45,000,32,000,75,000,75,000,40,000,45,000,70,000,65,000,75,000,70,000,65,000,35,000,29,000,75,000"
Le Raffine Jambu Dvipa Sukhumvit 39,"
Soi Phrom Phong, Khlong Toei Nuea, Vadhana, Bangkok 10110
","375,365,240,240,365,240,240,402,345,480,235,480,240,400,220,240,220,200,240,360,345,360","220,000,250,000,130,000,130,000,220,000,110,000,120,000,220,000,170,000,300,000,135,000,350,000,130,000,220,000,116,125k,115,119k,120,130k,200,000,150,000,250,000"
Le Cullinan,"
47 Soi Phrom Chai, Khwaeng Khlong Tan Nuea, Khet Watthana
","280,350,450,280,280,430,250,250","85,000,90,000,120,000,75,000,75,000,90,000,75,000,80,000"
Le Nice Ekamai,"
Soi Ekkamai, Phra Khanong Nuea, Vadhana, Bangkok 10110
","51,50.58,40,68,67,40,65,67,98,–,40,70,68,67,67.82,67,98,51,51,65","27,000,29,000,19,000,28,000,40,000,25,000,35,000,35,000,50,000,35,000,20,000,35,000,30,000,40,000,35,000,30,000,50,000,25,000,30,000,35,000"
Le Cosi Ekamai 28,"
Soi Nuan Noi, Khlong Toei Nuea, Vadhana, Bangkok 10110
","46,47","15,000,16,000"
Lalivan Court,"
128/1 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana
","170,155,120,100,160,140","50,000,40,000,40,000,30,000,50,000,40,000"
Le Cote Thonglor 8,"
Thong Lo 8, Khlong Toei Nuea, Vadhana, Bangkok 10110
","34,33,73,33,33,36,33,66,33,33,–,33,–,66,68,40,80,80,38,80","19,000,20,26k,43,000,22,000,22,000,24,000,20,000,40,000,22,000,22,000,25,000,19,000,24,000,39,000,38,000,35,000,38,000,50,000,30,000,50,000"
Laidback Place,"
202 ซอย มีสุวรรณ 3 แยก 16 Khwaeng Phra Khanong Nuea, Khet Watthana
","100,78,60,60,60","25,000,26,000,12,000,12,000,12,000"
Las Colinas,"
3-6 Thanon Asok Montri, Khwaeng Khlong Toei Nuea, Khet Watthana
","185,185,185,185,142,141,141,700,185,141,100,185,186,100,185,180,390,125,100,100","75,000,75,000,75,000,75,000,45,000,50,000,55,000,300,000,75,000,45,000,50,000,75,000,60,000,40,000,70,000,60,000,55,000,40,000,38,000,50,000"
Le Luk,"
159 Sukhumvit Rd, Khwaeng Phra Khanong, Khet Khlong Toei
","55,54,45,40,52,50,36,73,52,60,55,85,51,48,60,52,80,98,50,78.16,40,50","35,000,35,000,20,000,23,000,42,000,30,000,16,000,50,000,35,000,40,000,35,50k,30,000,22,000,40,000,45,000,48,85k,25,000,45,000,19,500,28,000"
La Citta Delre Thonglor 16,"
58/6 ซอย สุขุมวิท 55 Khwaeng Khlong Tan Nuea, Khet Watthana
",,
La citta,"
246-248 Soi Thong Lo 8, Khwaeng Khlong Tan Nuea, Khet Watthana
","180,165,75,74.4,74,165,165,165,75,65,165,180,165,164,165,80,134,165,181,74","100,000,110,000,55,000,55,000,55,000,115,000,90,000,120,000,50,000,50,000,115,000,110,000,120,000,115,000,115,000,55,000,95,000,115,000,130,000,55,000"
La Cascade,"
Soi Charoen Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110
","300,316,260,362,300,362.97,497,260,300,315,363,300,361,171,300,362,260,300,362,497.7","110,000,150,000,120,000,150,000,100,000,150,000,180,000,120,000,100,000,130,000,150,000,110,000,150,000,70,000,135,000,150,000,120,000,140,000,150,000,180,000"
Kool Residence,"
5/9 Soi Phrom Si 1, Khwaeng Khlong Tan Nuea, Khet Watthana
",,
L.A.Residence,"
38-40 Soi Setthabut, Khwaeng Khlong Tan Nuea, Khet Watthana
","40,100,100,100,100,100,100","35,000,65,000,65,000,65,000,70,000,55,000,67,999"
La Residenza,"
20 Soi Sukhumvit 7, Khwaeng Khlong Toei Nuea, แขวง คลองเตยเหนือ เขต วัฒนา Krung Thep Maha Nakhon 10110
","104,52,53,53,120,104,120,120,104,104,40,55,52,52,104,52,120,120,120,104","35,000,23,000,25,000,25,000,40,000,35,000,40,000,40,000,35,000,35,000,35,000,21,000,20,000,25,000,30,000,23,000,55,000,45,000,52,000,39,000"
LIV @5,"
Soi Loet Sin 1, Khlong Tan Nuea, Vadhana, Bangkok 10110
","77,46,38,49.29,49.29,46,77,38.25,40,38","100,000,32,800,28,000,40,000,40,000,26,000,60,000,28,000,30,000,30,000"
